"序号
No",网点编码Code CE,网点名称Nom CE,网点类型Type CE,"省份
Province","城市
Ville"
0,60590H,北京标龙京津汽车销售服务有限责任公司,4S,北京市,北京市
1,60620R,北京嘉瑞雅汽车销售服务有限公司,4S,北京市,北京市
2,65440F,北京汇京德通汽车销售服务有限责任公司,4S,北京市,北京市
3,61850C,北京博瑞祥致汽车销售服务有限公司,4S,北京市,北京市
4,60570L,北京汇京柯曼汽车贸易发展有限公司,4S,北京市,北京市
5,62440U,北京航天致诚汽车销售服务有限公司,4S,北京市,北京市
6,60030Z,北京鹏翰贸易有限公司,4S,北京市,北京市
7,61400N,北京新双龙雅致汽车销售服务有限公司,4S,北京市,北京市
8,65450G,北京怡合瑞狮汽车销售服务有限公司,4S,北京市,北京市
9,61950L,北京金泰凯迪汽车销售服务有限公司,4S,北京市,北京市
10,65390A,北京鑫万维瑞达汽车销售有限公司,4S,北京市,北京市
11,60830U,天津市紫金双盛汽车销售服务有限公司,4S,天津市,天津市
12,63100Q,天津市九州紫鑫汽车销售服务有限公司,4S,天津市,天津市
13,61370F,天津市润濠汽车销售服务有限公司,4S,天津市,天津市
14,63000C,天津华狮汽车销售服务有限公司,4S,天津市,天津市
15,63810T,天津标顺汽车销售有限公司,4S,天津市,天津市
16,63700T,天津彤远汽车贸易有限公司,4S,天津市,天津市
17,64450T,天津市九州紫华汽车销售服务有限公司,4S,天津市,天津市
18,60600U,河北盛威汽车贸易有限公司,4S,河北省,石家庄市
19,65882K,石家庄隆汇汽车销售服务有限公司,4S,河北省,石家庄市
20,65460H,石家庄众佳汽车贸易有限公司,4S,河北省,石家庄市
21,60310D,唐山市冀东通汽车销售服务有限公司,4S,河北省,唐山市
22,65943B,北京金泰凯迪汽车销售服务有限公司唐山分公司,4S,河北省,唐山市
23,63860Q,秦皇岛庞大雄狮汽车销售服务有限公司,4S,河北省,秦皇岛市
24,63450H,邯郸市华尚汽车销售服务有限公司,4S,河北省,邯郸市
25,64480H,邯郸市致信汽车销售服务有限公司,4S,河北省,邯郸市
26,62020M,邯郸市庞大龙腾汽车销售服务有限公司,4S,河北省,邯郸市
27,64570X,邢台德澳汽车销售有限公司,4S,河北省,邢台市
28,61530E,邢台昌龙汽车服务有限公司,4S,河北省,邢台市
29,64960L,邢台传龙汽车销售服务有限公司,4S,河北省,邢台市
30,62600T,保定轩宇雄狮汽车贸易有限公司,4S,河北省,保定市
31,61730X,保定市中冀威狮汽车贸易有限公司,4S,河北省,保定市
32,65560U,保定市合硕贸易有限公司,4S,河北省,保定市
33,64270Z,涿州市辉泓汽车销售服务有限公司,4S,河北省,保定市
34,64440D,定州驿达汽车销售有限公司,4S,河北省,保定市
35,63980Z,张家口市九福汽车销售服务有限公司,4S,河北省,张家口市
36,65730M,承德万狮汽车销售有限公司,4S,河北省,承德市
37,62130G,沧州运生汽车销售服务有限公司,4S,河北省,沧州市
38,64550C,沧州捷远汽车贸易有限公司,4S,河北省,沧州市
39,65710K,任丘市恒祥汽车销售服务有限公司,4S,河北省,沧州市
40,64600L,廊坊日泽昌汽车销售有限公司,4S,河北省,廊坊市
41,63900B,霸州市北方亿跃汽车销售服务有限公司,4S,河北省,廊坊市
42,62080C,衡水市庞大龙腾汽车销售服务有限公司,4S,河北省,衡水市
43,65845V,衡水传龙汽车销售服务有限公司,4S,河北省,衡水市
44,60540D,山西富澜德汽车销售有限公司,4S,山西省,太原市
45,64190T,太原钢运精致汽车销售有限公司,4S,山西省,太原市
46,64890T,山西全邦贸易有限公司,4S,山西省,太原市
47,65895Z,大同市钢致汽车销售有限公司,4S,山西省,大同市
48,62050V,大同市荣狮汽车销售服务有限责任公司,4S,山西省,大同市
49,63710Y,阳泉市欣通承达汽车销售服务有限公司,4S,山西省,阳泉市
50,62040J,长治市晋豪汽车销售有限公司,4S,山西省,长治市
51,65850A,长治市福联汽车销售服务有限公司,4S,山西省,长治市
52,65550T,晋城市宏运杰汽车销售有限公司,4S,山西省,晋城市
53,64700S,朔州市荣狮汽车销售服务有限责任公司,4S,山西省,朔州市
54,65916X,晋中悦隆汽车贸易有限公司,4S,山西省,晋中市
55,65750P,介休市大康汽贸有限公司,4S,山西省,晋中市
56,65925G,运城市瑞狮汽车销售服务有限公司,4S,山西省,运城市
57,64800Y,山西诺维兰集团运城瑞恒汽车销售服务有限公司,4S,山西省,运城市
58,63240X,忻州市忻府区金坤汽车贸易有限公司,4S,山西省,忻州市
59,65936U,临汾市江山铭泰汽车销售有限公司,4S,山西省,临汾市
60,65570V,临汾临运尧辉汽车销售服务有限公司,4S,山西省,临汾市
61,60420Y,内蒙古泰隆汽车服务有限公司,4S,内蒙古自治区,呼和浩特市
62,63850H,内蒙古龙运亨昌汽车贸易有限公司,4S,内蒙古自治区,呼和浩特市
63,64210B,包头市金陆汽车销售服务有限公司,4S,内蒙古自治区,包头市
64,61090B,包头利丰恒信汽车服务有限公司,4S,内蒙古自治区,包头市
65,65510N,赤峰晟源汽车服务有限责任公司,4S,内蒙古自治区,赤峰市
66,65640C,赤峰龙昊汽车贸易有限公司,4S,内蒙古自治区,赤峰市
67,62150D,通辽市万庆汽车销售服务有限公司,4S,内蒙古自治区,通辽市
68,65875C,鄂尔多斯市成兴汽车有限公司,4S,内蒙古自治区,鄂尔多斯市
69,63820H,呼伦贝尔市大鹏润达汽车贸易有限公司,4S,内蒙古自治区,呼伦贝尔市
70,64540B,巴彦淖尔市巴运小轿车销售有限公司,4S,内蒙古自治区,巴彦淖尔市
71,65876D,内蒙古万方汽车销售服务有限公司,4S,内蒙古自治区,乌兰察布市
72,64950W,兴安盟骏腾汽车销售服务有限公司,4S,内蒙古自治区,兴安盟
73,63110T,沈阳汇诚汽车销售服务有限公司,4S,辽宁省,沈阳市
74,62350W,沈阳庞大龙腾汽车销售服务有限公司,4S,辽宁省,沈阳市
75,65860L,大连新东升汽车销售服务有限公司,4S,辽宁省,大连市
76,62610D,大连东汇汽车销售服务有限公司,4S,辽宁省,大连市
77,64900F,抚顺千和汽车销售有限公司,4S,辽宁省,抚顺市
78,65844U,锦州盛世鸿运汽车销售服务有限公司,4S,辽宁省,锦州市
79,62830T,阜新市华美汽车销售服务有限公司,4S,辽宁省,阜新市
80,64910P,盘锦东汇汽车销售服务有限公司,4S,辽宁省,盘锦市
81,63260C,朝阳鸿盛汽车销售服务有限公司,4S,辽宁省,朝阳市
82,64720H,葫芦岛路安实业有限公司,4S,辽宁省,葫芦岛市
83,64520C,吉林省瀚宇汽车销售服务有限公司,4S,吉林省,长春市
84,62800K,吉林省联孚汽车销售服务有限公司,4S,吉林省,长春市
85,61460D,吉林市万华汽车销售服务有限公司,4S,吉林省,吉林市
86,63520T,通化市晟孚汽车销售服务有限公司,4S,吉林省,通化市
87,65851B,松原市隆孚汽车销售服务有限公司,4S,吉林省,松原市
88,60290G,黑龙江骏鹰大通汽车销售服务有限公司,4S,黑龙江省,哈尔滨市
89,64750H,黑龙江东顺汽车销售服务有限公司,4S,黑龙江省,哈尔滨市
90,63890Q,齐齐哈尔市皓民汽车销售有限公司,4S,黑龙江省,齐齐哈尔市
